Action	Source IP	Destination IP	Protocol	Reason
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	192.168.0.215	20.42.72.131	6	
